Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
134,13:55.42,,Victor KIBIEGO,,KEN,12f4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1059
136,13:55.46,,Gabriel SANCHEZ,,USA,13f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1059
137,13:55.77,,Simon KELATI,,USA,3,,"Robert W. Plaster Center, Pittsburg, KS (USA) (i)",08 MAR 2024,1058
138,13:55.84,,Josh STONE,,USA,1f5,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1058
139,13:56.12,,Tobias CHERUIYOT,,KEN,5,,"Sports Performance Center, Lubbock, TX (USA) (i)",23 FEB 2024,1057
140,13:56.23,,Jack SHEFFAR,1996,CAN,2f5,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1057
141,13:56.57,,Loic SCOMPARIN,23 MAY 2001,FRA,4,,"Robert W. Plaster Center, Pittsburg, KS (USA) (i)",08 MAR 2024,1055
142,13:56.58,,Patrick CULLEN,,USA,4f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,1055
143,13:56.83,,Sanele MASONDO,24 MAR 2002,RSA,18f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1055
144,13:56.98,,John TATTER,,USA,14f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1054
145,13:57.24,,Mario GARCÍA,29 JUN 1999,ESP,17f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,1053
146,13:57.56,,John GAY,07 NOV 1996,CAN,18f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1052
147,13:57.58,,Mitchell DERVIN,,USA,4f5,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1052
148,13:57.82,,Alex COMERFORD,,USA,5f5,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1051
149,13:57.86,,Enrico Martino ODDONE,07 JAN 1998,ITA,6f5,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1051
150,13:58.19,,Keelan KILREHILL,29 SEP 2000,IRL,2f6,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1050
151,13:58.40,,Dylan SCHUBERT,,USA,19f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1049
152,13:58.42,,Michael REBELLO,,USA,7f5,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1049
153,13:58.64,,Yasin SADO,,USA,9f2,,"The Track at New Balance, Boston, MA (USA) (i)",22 FEB 2024,1048
154,13:59.10,,Tyler BERG,02 SEP 2000,USA,15f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1047
155,13:59.20,,Spencer MOON,,USA,9f5,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1046
156,13:59.48,,Luke HENSELER,,USA,10f5,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1045
157,13:59.73,,Owen LOCKYER,06 MAY 2003,CAN,2,,"Armory Track&Field Center, New York, NY (USA) (i)",27 JAN 2024,1044
158,13:59.77,,Colton SANDS,,USA,1f1,,"The Track at New Balance, Boston, MA (USA) (i)",22 FEB 2024,1044
159,13:59.80,,Josh PIERANTONI,,USA,8,,"Robert W. Plaster Center, Pittsburg, KS (USA) (i)",08 MAR 2024,1044
160,13:59.91,,Tomas VEGA,04 JAN 2002,ARG,1,,"R.A. ""Murray"" Fasken Indoor Track Stadium, College Station, TX (USA) (i)",02 FEB 2024,1044
161,14:00.06,,Ethan SENTI,,USA,5f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,1043
162,14:00.25,,Cory KENNEDY,,USA,6f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,1043
163,14:00.30,,Ethan GREGG,,USA,2,,"Virginia Beach Sports Center, Virginia Beach, VA (USA) (i)",08 MAR 2024,1042
164,14:00.41,,Aziz JDAI,30 MAY 2000,TUN,3f6,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1042
165,14:00.91,,Meli JOSPHAT,,KEN,1,,"Bob Devaney Sports Center, Lincoln, NE (USA) (i)",02 FEB 2024,1040
166,14:00.95,,Tom ELMER,01 APR 1997,SUI,17f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,1040
167,14:00.98,,Harry LOURADOUR,17 APR 2002,FRA,4f6,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1040
168,14:01.21,,German VEGA,04 JAN 2002,ARG,2,,"R.A. ""Murray"" Fasken Indoor Track Stadium, College Station, TX (USA) (i)",02 FEB 2024,1039
169,14:01.51,,Vince SIMONETTI,,USA,4,,"Virginia Beach Sports Center, Virginia Beach, VA (USA) (i)",08 MAR 2024,1038
170,14:01.64,,Shane HENDERSON,,USA,3,,"Armory Track&Field Center, New York, NY (USA) (i)",27 JAN 2024,1038
170,14:01.64,,Robbie COZEAN,,USA,2f1,,"The Track at New Balance, Boston, MA (USA) (i)",22 FEB 2024,1038
172,14:01.95,,Isaac HEDENGREN,,USA,7f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,1037
173,14:02.44,,Brogan GIFFIN,,USA,11f5,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1035
174,14:02.55,,Ryan JOHNSON,19 JUL 2001,USA,4,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",09 FEB 2024,1035
175,14:02.99,,Ryan MEADOWS,,USA,8f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,1033
176,14:03.10,,Murphy SMITH,,USA,1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",24 FEB 2024,1033
