Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
170,2:26.34,,Sylvain LAFERRERE,12 NOV 1998,FRA,3,,"Stade Louis II, Monaco (MON)",09 JUL 2021,933
171,2:26.37,,Lahcen OUADFEL,12 FEB 1997,ALG,5,,"Stade Bateau Casse, Algiers (ALG)",27 MAR 2021,932
171,2:26.37,,Marek KALOUS,08 MAR 2000,CZE,1f1,,"Pramtalstadion, Andorf (AUT)",14 AUG 2021,932
173,2:26.39,,Dmitriy CHERNYSHEV,18 OCT 2000,RUS,7,,"SOK Luch, Yekaterinburg (RUS) (i)",07 JAN 2021,998
173,2:26.39,,Marek STRNAD,19 JUL 2001,CZE,2,,Domažlice (CZE),17 SEP 2021,932
175,2:26.40,,Sean CASEY,,USA,1,,"Army-Gillis FH, West Point, NY (USA) (i)",13 FEB 2021,997
175,2:26.40,,Joe SCHAEFER,,USA,5,,"Sports Performance Center, Lubbock, TX (USA) (i)",27 FEB 2021,997
177,2:26.41,,Roman TROTSENKO,09 MAY 1992,RUS,8,,"SOK Luch, Yekaterinburg (RUS) (i)",07 JAN 2021,997
178,2:26.55,,Tommaso MANISCALCO,22 JUL 2002,ITA,3f1,,"Stadio Paolo Rosi, Roma (ITA)",25 APR 2021,928
179,2:26.60,,Garrett BAUBLITZ,,USA,2,,"Army-Gillis FH, West Point, NY (USA) (i)",13 FEB 2021,993
180,2:26.64,,Marvin DIERKER,05 MAR 1993,GER,5,,"Nordanlage, Leipzig (GER)",21 JUL 2021,927
180,2:26.64,,Daniel NICKELL,22 AUG 2000,USA,4f3,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",03 DEC 2021,992
182,2:26.66,,Jackson BURNETT,2001,USA,2f2,,"Hughes Fieldhouse, Maryville, MO (USA) (i)",30 JAN 2021,0
183,2:26.67,,Aleksa TOMIĆ,20 AUG 2003,SRB,1,,"Atletska dvorana, Beograd (SRB) (i)",18 DEC 2021,992
184,2:26.73,,Vivien HENZ,24 AUG 2004,LUX,2f1,,"Stadion Kieselhumes, Saarbrücken (GER)",22 JUL 2021,925
