Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
153,7:55.31,,Yemaneberhan CRIPPA,15 OCT 1996,ITA,13,,"Stade Charléty, Paris (FRA)",01 JUL 2017,1083
154,7:55.33,,Philimon KIPKORIR,18 JAN 1988,KEN,1,,Conegliano (ITA),16 JUN 2017,1083
155,7:55.41,,Federico BRUNO,18 JUN 1993,ARG,2,,Zaragoza (ESP) (i),04 FEB 2017,1106
155,7:55.41,,Josphat Kiprono MENJO,20 AUG 1979,KEN,1f1,,Kessel-Lo (BEL),19 AUG 2017,1083
157,7:55.44,,David ELLIOTT,21 JUL 1993,USA,6f4,,"Seattle, WA (USA) (i)",28 JAN 2017,0
157,7:55.44,,Seki HAYATO,11 APR 1997,JPN,4,,"Todoroki Stadium, Kawasaki (JPN)",21 MAY 2017,1083
159,7:55.49,,Hillary BOR,22 NOV 1989,USA,6f1,,"Ames, IA (USA) (i)",10 FEB 2017,0
160,7:55.55,,Soufiane BOUCHIKHI,22 MAR 1990,BEL,8,,"Alexander Stadium, Birmingham (GBR)",20 AUG 2017,1082
161,7:55.65,,Dewi GRIFFITHS,09 AUG 1991,GBR,7f1,,Cork (IRL),18 JUL 2017,1081
162,7:55.68,,Zach PERRIN,25 JAN 1995,USA,6f6,,"Seattle, WA (USA) (i)",11 FEB 2017,0
163,7:55.74,,Ali KAYA,20 APR 1994,TUR,5,,Istanbul (TUR) (i),17 FEB 2017,1104
164,7:55.79,,Jordan MANN,12 JAN 1993,USA,10,,"Concord, MA (USA)",01 JUN 2017,1081
165,7:55.80,,Tafese SOBOKA,29 SEP 1993,ETH,3f1,,Sabadell (ESP) (i),07 FEB 2017,1103
166,7:55.83,,Andreas VOJTA,09 JUN 1989,AUT,4f1,,Sabadell (ESP) (i),07 FEB 2017,1103
166,7:55.83,,Ryan MAHALSKY,27 APR 1993,USA,11,,"Concord, MA (USA)",01 JUN 2017,1080
168,7:56.05,,Chiharu NAKAGAWA,08 APR 1986,JPN,4,,Kitami (JPN),09 JUL 2017,1079
169,7:56.17,,Tomas COTTER,28 DEC 1990,IRL,3,,"Cambridge, MA (USA) (i)",19 FEB 2017,1101
170,7:56.18,,Maksim YAKUSHEV,15 MAR 1992,RUS,2,,Moskva (RUS) (i),05 FEB 2017,1101
171,7:56.29,,Ross PROUDFOOT,04 JUL 1992,CAN,12,,"Concord, MA (USA)",01 JUN 2017,1078
172,7:56.30,,Ilham Tanui ÖZBILEN,05 MAR 1990,TUR,3,,"x-bionic sphere, Šamorín (SVK)",17 JUN 2017,1078
173,7:56.35,,Haftu TEKLU,21 JAN 2000,ETH,4,,"x-bionic sphere, Šamorín (SVK)",17 JUN 2017,1077
174,7:56.48,,Jefferson ABBEY,,USA,7f6,,"Seattle, WA (USA) (i)",11 FEB 2017,0
175,7:56.88,,Sydney GIDABUDAY,21 AUG 1996,USA,1,,"Birmingham, AL (USA) (i)",11 MAR 2017,1097
175,7:56.88,,Aaron NELSON,16 JUL 1992,USA,13,,"Concord, MA (USA)",01 JUN 2017,1074
177,7:57.00,,Andrew HEYES,22 JUN 1990,GBR,2,,Sheffield (GBR) (i),12 FEB 2017,1096
178,7:57.11,,Willy FINK,07 MAR 1994,USA,8f6,,"Seattle, WA (USA) (i)",11 FEB 2017,0
179,7:57.12,,Mahiedine MEKHISSI,15 MAR 1985,FRA,9,,"Sports Park Mladost, Zagreb (CRO)",29 AUG 2017,1073
180,7:57.20,,Liam DEE,23 MAY 1996,GBR,14,,"Concord, MA (USA)",01 JUN 2017,1072
181,7:57.32,,Aaron BAUMGARTEN,,USA,2f1,,"Boston, MA (USA) (i)",28 JAN 2017,1094
182,7:57.45,,Jamal HITRANE,01 SEP 1989,MAR,3,,Montgeron (FRA),14 MAY 2017,1071
183,7:57.47,,Jaouad CHEMLAL,11 APR 1994,MAR,3,,Nembro (ITA),07 JUL 2017,1071
184,7:57.49,,Vincent KIPROP,,KEN,2,,"Birmingham, AL (USA) (i)",11 MAR 2017,1093
185,7:57.50,,Nikolay CHAVKIN,24 APR 1984,RUS,3,,Moskva (RUS) (i),05 FEB 2017,1093
185,7:57.50,,Brian DOYLE,23 JUL 1992,USA,16,,"Concord, MA (USA)",01 JUN 2017,1070
187,7:57.57,,Dino BOŠNJAK,21 JAN 1994,CRO,10,,"Sports Park Mladost, Zagreb (CRO)",29 AUG 2017,1070
188,7:57.65,,Ford PALMER,06 OCT 1990,USA,4f2,,"New York, NY (USA) (i)",28 JAN 2017,1092
189,7:57.67,,Iliass AOUANI,29 SEP 1995,ITA,3f1,,"Boston, MA (USA) (i)",28 JAN 2017,1092
190,7:57.68,,Artyom LEONENKO,07 APR 1992,RUS,2,,Yekaterinburg (RUS) (i),07 JAN 2017,1092
191,7:57.76,,Joshua THOMPSON,09 MAY 1993,USA,7,,"New York, NY (USA)",06 JUL 2017,1069
192,7:57.97,,Aman KEDI,16 SEP 1994,ETH,6,,Mondeville (FRA) (i),04 FEB 2017,1090
192,7:57.97,,Jordi TORRENTS,25 SEP 1997,ESP,5f1,,Sabadell (ESP) (i),07 FEB 2017,1090
194,7:58.00,,Ryo MATSUMOTO,19 OCT 1990,JPN,5,,Kitami (JPN),09 JUL 2017,1068
195,7:58.03,,Timo BENITZ,24 DEC 1991,GER,2f1,,Gent (BEL) (i),11 FEB 2017,1090
195,7:58.03,,Yuichiro UENO,29 JUL 1985,JPN,3f5,,Setagaya (JPN),08 APR 2017,1067
197,7:58.14,,Troy FRALEY,02 APR 1995,USA,7f4,,"Seattle, WA (USA) (i)",28 JAN 2017,0
198,7:58.15,,Colin BENNIE,03 JUN 1995,USA,5f1,,"Boston, MA (USA) (i)",28 JAN 2017,1089
199,7:58.17,,Izaic YORKS,17 APR 1994,USA,4,,"Cambridge, MA (USA) (i)",19 FEB 2017,1089
200,7:58.22,,Jack BRUCE,31 AUG 1994,AUS,7f1,,"Ames, IA (USA) (i)",10 FEB 2017,0
201,7:58.25,,Marc ALCALÁ,07 NOV 1994,ESP,1f1,,Sabadell (ESP) (i),14 JAN 2017,1089
202,7:58.32,,Anatoliy RYBAKOV,27 FEB 1985,RUS,2f3,,Moskva (RUS) (i),19 FEB 2017,1088
203,7:58.34,,Rorey HUNTER,02 FEB 1993,AUS,7,,Kingston (JAM),10 JUN 2017,1066
204,7:58.35,,Aweke AYALEW,23 FEB 1993,BRN,5,,"x-bionic sphere, Šamorín (SVK)",17 JUN 2017,1065
205,7:58.42,,Yegor NIKOLAYEV,28 APR 1988,RUS,3,,Yekaterinburg (RUS) (i),07 JAN 2017,1088
206,7:58.47,,Yassin BOUIH,24 NOV 1996,ITA,7,,Mondeville (FRA) (i),04 FEB 2017,1087
206,7:58.47,,Aleksey POPOV,17 JUN 1987,RUS,4,,Moskva (RUS) (i),05 FEB 2017,1087
208,7:58.50,,Abderrahmane ANOU,29 JAN 1991,ALG,6,,Metz (FRA) (i),12 FEB 2017,1087
209,7:58.57,,Daniel MATEO,31 AUG 1989,ESP,2f1,,Huizingen (BEL),10 JUN 2017,1064
210,7:58.58,,Robert BRANDT,02 NOV 1996,USA,9f6,,"Seattle, WA (USA) (i)",11 FEB 2017,0
211,7:58.71,,Staffan EK,13 NOV 1991,SWE,3f1,,Gent (BEL) (i),11 FEB 2017,1086
212,7:58.81,,Rory LINKLETTER,12 AUG 1996,CAN,8f4,,"Seattle, WA (USA) (i)",28 JAN 2017,0
213,7:58.90,,Marius VEDVIK,18 MAR 1992,NOR,2,,"Bislett Stadion, Oslo (NOR)",15 JUN 2017,1062
214,7:58.92,,Benjámin KOVÁCS,24 JAN 1995,HUN,1f1,,Karlstad (SWE),25 JUL 2017,1062
