Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
175,10:06.99,,Jenipher CONTOIS,26 JUL 1999,FRA,2f2,,"Boudewijnstadion, Bruxelles (BEL)",26 MAY 2024,1078
176,10:07.47,,Dana KLEIN,,USA,6f1,,"Cobb Track and Angell Field, Palo Alto, CA (USA)",26 APR 2024,1077
177,10:07.57,,Chhavi YADAV,15 AUG 1992,IND,1,,"Kalinga Stadium, Bhubaneshwar (IND)",14 MAY 2024,1077
178,10:07.67,,Sharon CHEPKEMOI,11 NOV 2006,KEN,2,,"Ulinzi Sports Complex, Langata, Nairobi (KEN)",06 JAN 2024,1077
179,10:08.00,,Leonie SAURER,06 SEP 2002,SUI,5sf1,,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",25 MAY 2024,1076
180,10:08.29,,Martyna KRAWCZYŃSKA,21 NOV 2004,POL,12,,"Stadion Śląski, Chorzów (POL)",18 MAY 2024,1075
181,10:08.34,,Mary HENNELLY,06 JAN 2002,USA,6f1,,"Franklin Field, Philadelphia, PA (USA)",25 APR 2024,1075
182,10:08.35,,Alexa LEMITRE,10 APR 1998,FRA,19f1,,"Boudewijnstadion, Bruxelles (BEL)",26 MAY 2024,1075
183,10:08.49,,Grace DRISKILL,,USA,7f1,,"Franklin Field, Philadelphia, PA (USA)",25 APR 2024,1075
184,10:08.53,,Caroline JEROTICH,05 FEB 2001,KEN,7f2,,"Cougar Athletic Stadium, Azusa, CA (USA)",11 APR 2024,1075
185,10:08.68,,Marissa D'ATRI,,USA,8f2,,"Cougar Athletic Stadium, Azusa, CA (USA)",11 APR 2024,1074
186,10:08.86,,Elizabeth DILDINE,,USA,1f2,,"Cobb Track and Angell Field, Palo Alto, CA (USA)",29 MAR 2024,1074
186,10:08.86,,Sarah TAIT,26 MAR 2001,GBR,6sf1,,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",25 MAY 2024,1074
188,10:09.01,,Soyoka SEGAWA,28 JUL 1994,JPN,5,,"Universiade Commemorative Stadium, Kobe (JPN)",21 APR 2024,1073
189,10:09.50,,Hannah STEWART,,USA,7f2,,"Hilmer Lodge Stadium, Walnut, CA (USA)",18 APR 2024,1072
190,10:09.82,,Marina GUERRERO,29 MAY 1994,ESP,6,,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",22 MAY 2024,1072
191,10:09.91,,Soňa KOUŘILOVÁ,08 DEC 2001,CZE,14f2,,"Carl-Kaufmann-Stadion, Karlsruhe (GER)",11 MAY 2024,1071
