Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
144,8:40.76,,Issam BOUCHACHE,19 FEB 1991,ALG,3,,Algiers (ALG),24 JUN 2014,1075
145,8:40.85,,Ali Ahmed AL AMRI,28 DEC 1987,KSA,14,,"Le Grand Stade, Marrakech (MAR)",08 JUN 2014,1075
146,8:40.97,,Christopher DULHANTY,06 APR 1992,CAN,4,,Moncton (CAN),28 JUN 2014,1074
147,8:41.0h,,Hicham CHAMLAL,02 DEC 1997,MAR,5,,Rabat (MAR),22 JUN 2014,1074
148,8:41.33,,Jared BASSETT,06 MAY 1990,USA,6,,"Walnut, CA (USA)",18 APR 2014,1073
149,8:41.41,,Edwin MELLY,10 AUG 1996,KEN,4,,Nairobi (KEN),25 JUN 2014,1072
150,8:41.53,,Kyle KING,04 APR 1993,USA,2h1,,"Jacksonville, FL (USA)",30 MAY 2014,1072
151,8:41.65,,Brandon DOUGHTY,14 MAY 1993,USA,5,,"Eugene, OR (USA)",14 JUN 2014,1071
152,8:41.70,,Luis Enrique IBARRA,04 JUL 1980,MEX,8f1,,"Los Angeles, CA (USA)",15 MAY 2014,1071
153,8:41.87,,Hosea Kimeli KISORIO,22 NOV 1990,KEN,1,,Milano (ITA),27 SEP 2014,1070
154,8:42.00,,Hailemariyam AMARE,22 FEB 1997,ETH,5,,"Hayward Field, Eugene, OR (USA)",27 JUL 2014,1070
155,8:42.13,,Kosei YAMAGUCHI,19 AUG 1991,JPN,5,,Yamaguchi (JPN),11 OCT 2014,1069
156,8:42.20,,Mattias WOLTER,27 MAR 1991,CAN,7,,"Walnut, CA (USA)",18 APR 2014,1069
156,8:42.20,,John PRIZZI,15 JUN 1993,USA,2h2,,"Jacksonville, FL (USA)",30 MAY 2014,1069
158,8:42.21,,Ko YAMASHITA,15 NOV 1988,JPN,4,,Fukushima (JPN),06 JUN 2014,1069
159,8:42.32,,Alberto Casimiro PAULO,03 OCT 1985,POR,1,,Ribeira Brava (POR),20 JUL 2014,1069
160,8:42.67,,Tanguy PEPIOT,06 JUL 1991,FRA,2h1,,"Fayetteville, AR (USA)",30 MAY 2014,1067
161,8:42.89,,Napoleon SOLOMON,14 FEB 1994,SWE,4,,Kortrijk (BEL),12 JUL 2014,1066
162,8:42.96,,Justinas BERŽANSKIS,12 JAN 1989,LTU,1,,Valmiera (LAT),19 JUL 2014,1066
163,8:43.12,,Darren FAHY,14 MAY 1994,USA,2f1,,"Princeton, NJ (USA)",18 APR 2014,1065
164,8:43.17,,Javier QUINTANA,15 OCT 1991,MEX,5f2,,"Palo Alto, CA (USA)",04 MAY 2014,1065
164,8:43.17,,Fabian CLARKSON,13 DEC 1990,GER,4,,Oordegem (BEL),31 MAY 2014,1065
166,8:43.18,,Yohanes CHIAPPINELLI,18 AUG 1997,ITA,6,,"Hayward Field, Eugene, OR (USA)",27 JUL 2014,1065
167,8:43.40,,Christian STEINHAMMER,21 OCT 1988,AUT,10,,Luzern (SUI),15 JUL 2014,1064
168,8:43.5h,,Ronald Kibet TANUI,1988,KEN,7,,Nairobi (KEN),14 MAY 2014,1063
169,8:43.76,,Mehdi AKAOUCH,27 JAN 1982,FRA,5,,Montbéliard (FRA),06 JUN 2014,1062
170,8:43.84,,Andrey TROFIMOV,02 APR 1986,RUS,3,,Yerino (RUS),09 JUL 2014,1062
171,8:43.87,,Ali MESSAOUDI,13 OCT 1995,ALG,4,,Algiers (ALG),24 JUN 2014,1062
172,8:43.95,,Jared BERMAN,09 FEB 1991,USA,6f2,,"Palo Alto, CA (USA)",04 MAY 2014,1062
173,8:43.99,,Caleb HOOVER,22 JUL 1992,USA,7,,"Eugene, OR (USA)",14 JUN 2014,1061
174,8:44.01,,Jacob SMITH,12 APR 1990,CAN,1h3,,"Jacksonville, FL (USA)",30 MAY 2014,1061
174,8:44.01,,Alex BRILL,23 SEP 1990,USA,5h1,,"Eugene, OR (USA)",12 JUN 2014,1061
176,8:44.15,,Tomas COTTER,28 DEC 1990,IRL,7f2,,"Palo Alto, CA (USA)",04 MAY 2014,1061
176,8:44.15,,Josphat Kimutai KOECH,1983,KEN,2,,Milano (ITA),27 SEP 2014,1061
178,8:44.23,,Milan KOCOUREK,06 DEC 1987,CZE,1,,Turnov (CZE),27 MAY 2014,1060
179,8:44.28,,Tripp HURT,30 OCT 1992,USA,2h3,,"Jacksonville, FL (USA)",30 MAY 2014,1060
180,8:44.35,,Abdellah DACHA,26 JAN 1992,MAR,7,,Oordegem (BEL),31 MAY 2014,1060
181,8:44.37,,Jake WATERMAN,31 MAY 1991,USA,3h3,,"Jacksonville, FL (USA)",30 MAY 2014,1060
182,8:44.53,,Matt CLEAVER,07 NOV 1989,USA,3f1,,"Palo Alto, CA (USA)",04 APR 2014,1059
183,8:44.59,,Jorge BLANCO,15 JUL 1993,ESP,8,,Oordegem (BEL),31 MAY 2014,1059
184,8:44.76,,David GOODMAN,21 DEC 1988,USA,3f1,,"Princeton, NJ (USA)",18 APR 2014,1058
185,8:44.78,,Emil BLOMBERG,09 APR 1992,SWE,3h1,,"Fayetteville, AR (USA)",30 MAY 2014,1058
186,8:44.97,,Edwin KIBICHIY,02 APR 1992,KEN,7h1,,"Eugene, OR (USA)",12 JUN 2014,1057
187,8:45.0h,,Eliud Kibet TOO,,KEN,2,,Nakuru (KEN),14 MAR 2014,1057
188,8:45.10,,Victor PUYUELO,07 MAY 1992,ESP,9,,Oordegem (BEL),31 MAY 2014,1057
189,8:45.12,,Rantso MOKOPANE,08 AUG 1994,RSA,6,,Bydgoszcz (POL),02 JUN 2014,1057
190,8:45.24,,Nico SONNENBERG,11 SEP 1991,GER,8,,Dessau (GER),11 JUN 2014,1056
191,8:45.25,,Mathieu BAZIN,17 FEB 1990,FRA,6,,Montbéliard (FRA),06 JUN 2014,1056
192,8:45.28,,Tomasz SZYMKOWIAK,05 JUL 1983,POL,7,,Bydgoszcz (POL),02 JUN 2014,1056
193,8:45.30,,Daniel THATER,,USA,2h3,,"Fayetteville, AR (USA)",30 MAY 2014,1056
194,8:45.66,,Kazuya SHIOJIRI,08 NOV 1996,JPN,9,,"Hayward Field, Eugene, OR (USA)",27 JUL 2014,1054
195,8:45.77,,Michael LEDUC,,USA,1,,"Delaware, OH (USA)",24 MAY 2014,1054
196,8:45.83,,Nahom Mesfin TARIKU,03 JUN 1989,ETH,1,,"Indianapolis, IN (USA)",15 JUN 2014,1053
197,8:45.95,,Zach WILES,10 MAY 1991,USA,4f1,,"Palo Alto, CA (USA)",04 APR 2014,1053
198,8:45.96,,Gerald Nicolas GIRALDO VILLA,21 MAR 1989,COL,2,,Santiago de Chile (CHI),16 MAR 2014,1053
199,8:45.99,,Osama ZOGHLAMI,19 JUN 1994,ITA,1,,Brugnera (ITA),06 SEP 2014,1053
200,8:46.0h,,Philip Kipkurgat YIEGO,1979,KEN,2,,Nairobi (KEN),17 MAY 2014,1053
201,8:46.1h,,Collins NGENO,14 APR 1983,KEN,3,,Nairobi (KEN),17 MAY 2014,1052
202,8:46.10,,Albert MINCZÉR,01 OCT 1986,HUN,1,,Székesfehérvár (HUN),02 AUG 2014,1052
203,8:46.15,,Sergey KOTOV,28 JUL 1985,RUS,1f1,,Kazan (RUS),24 JUL 2014,1052
204,8:46.30,,Ryoshuke NAGAI,28 SEP 1991,JPN,6,,Fukushima (JPN),06 JUN 2014,1051
205,8:46.41,,Edward OWENS,11 AUG 1993,USA,4h3,,"Jacksonville, FL (USA)",30 MAY 2014,1051
206,8:46.44,,Robert MCCANN,19 APR 1994,CAN,2h2,,"Fayetteville, AR (USA)",30 MAY 2014,1051
